Episode  82 | Reward 17.26 | Avg Loss 0.0083 | Epsilon 0.847
Episode  83 | Reward 10.74 | Avg Loss 0.0091 | Epsilon 0.845
Episode  84 | Reward 8.21 | Avg Loss 0.0088 | Epsilon 0.844
Episode  85 | Reward 14.34 | Avg Loss 0.0094 | Epsilon 0.842
Episode  86 | Reward 6.14 | Avg Loss 0.0085 | Epsilon 0.840
Episode  87 | Reward 5.57 | Avg Loss 0.0090 | Epsilon 0.838
Episode  88 | Reward 4.68 | Avg Loss 0.0086 | Epsilon 0.837
Episode  89 | Reward 13.22 | Avg Loss 0.0088 | Epsilon 0.835
Episode  90 | Reward 12.08 | Avg Loss 0.0087 | Epsilon 0.833
Episode  91 | Reward 13.63 | Avg Loss 0.0218 | Epsilon 0.832
Episode  92 | Reward 16.80 | Avg Loss 0.0096 | Epsilon 0.830
Episode  93 | Reward 12.95 | Avg Loss 0.0101 | Epsilon 0.828
Episode  94 | Reward 11.81 | Avg Loss 0.0101 | Epsilon 0.827
Episode  95 | Reward 18.56 | Avg Loss 0.0103 | Epsilon 0.825
Episode  96 | Reward 12.25 | Avg Loss 0.0103 | Epsilon 0.823
Episode  97 | Reward 7.46 | Avg Loss 0.0107 | Epsilon 0.822
Episode  98 | Reward 16.91 | Avg Loss 0.0094 | Epsilon 0.820
Episode  99 | Reward 20.49 | Avg Loss 0.0103 | Epsilon 0.819
Episode 100 | Reward 22.51 | Avg Loss 0.0108 | Epsilon 0.817
Episode 101 | Reward 13.86 | Avg Loss 0.0171 | Epsilon 0.815
Episode 102 | Reward 17.25 | Avg Loss 0.0099 | Epsilon 0.814
Episode 103 | Reward 16.01 | Avg Loss 0.0102 | Epsilon 0.812
Episode 104 | Reward 29.97 | Avg Loss 0.0105 | Epsilon 0.810
Episode 105 | Reward 16.02 | Avg Loss 0.0103 | Epsilon 0.809
Episode 106 | Reward 30.45 | Avg Loss 0.0106 | Epsilon 0.807
Episode 107 | Reward 23.18 | Avg Loss 0.0107 | Epsilon 0.806
Episode 108 | Reward 13.56 | Avg Loss 0.0105 | Epsilon 0.804
Episode 109 | Reward 14.07 | Avg Loss 0.0102 | Epsilon 0.802
Episode 110 | Reward 11.26 | Avg Loss 0.0103 | Epsilon 0.801
Episode 111 | Reward 17.95 | Avg Loss 0.0165 | Epsilon 0.799
Episode 112 | Reward 18.09 | Avg Loss 0.0117 | Epsilon 0.798
Episode 113 | Reward 16.24 | Avg Loss 0.0110 | Epsilon 0.796
Episode 114 | Reward 17.76 | Avg Loss 0.0113 | Epsilon 0.794
Episode 115 | Reward 20.79 | Avg Loss 0.0111 | Epsilon 0.793
Episode 116 | Reward 27.09 | Avg Loss 0.0112 | Epsilon 0.791
Episode 117 | Reward 15.31 | Avg Loss 0.0112 | Epsilon 0.790
Episode 118 | Reward 28.26 | Avg Loss 0.0118 | Epsilon 0.788
Episode 119 | Reward 19.90 | Avg Loss 0.0110 | Epsilon 0.786
Episode 120 | Reward 27.01 | Avg Loss 0.0119 | Epsilon 0.785
Episode 121 | Reward 22.99 | Avg Loss 0.0156 | Epsilon 0.783
Episode 122 | Reward 18.60 | Avg Loss 0.0115 | Epsilon 0.782
Episode 123 | Reward 19.32 | Avg Loss 0.0109 | Epsilon 0.780
Episode 124 | Reward 5.60 | Avg Loss 0.0110 | Epsilon 0.779
Episode 125 | Reward 26.95 | Avg Loss 0.0109 | Epsilon 0.777
Episode 126 | Reward 25.52 | Avg Loss 0.0102 | Epsilon 0.775
Episode 127 | Reward 20.35 | Avg Loss 0.0115 | Epsilon 0.774
Episode 128 | Reward 24.23 | Avg Loss 0.0103 | Epsilon 0.772
Episode 129 | Reward 29.30 | Avg Loss 0.0109 | Epsilon 0.771
Episode 130 | Reward 22.75 | Avg Loss 0.0110 | Epsilon 0.769
Episode 131 | Reward 15.27 | Avg Loss 0.0207 | Epsilon 0.768
Episode 132 | Reward 26.08 | Avg Loss 0.0128 | Epsilon 0.766
Episode 133 | Reward 23.23 | Avg Loss 0.0134 | Epsilon 0.765
Episode 134 | Reward 17.78 | Avg Loss 0.0129 | Epsilon 0.763
Episode 135 | Reward 26.17 | Avg Loss 0.0119 | Epsilon 0.762
Episode 136 | Reward 14.11 | Avg Loss 0.0133 | Epsilon 0.760
Episode 137 | Reward 25.83 | Avg Loss 0.0130 | Epsilon 0.759
Episode 138 | Reward 16.68 | Avg Loss 0.0125 | Epsilon 0.757
Episode 139 | Reward 27.51 | Avg Loss 0.0130 | Epsilon 0.756
Episode 140 | Reward 30.13 | Avg Loss 0.0132 | Epsilon 0.754
Episode 141 | Reward 24.12 | Avg Loss 0.0225 | Epsilon 0.753
Episode 142 | Reward 29.90 | Avg Loss 0.0125 | Epsilon 0.751
Episode 143 | Reward 21.28 | Avg Loss 0.0132 | Epsilon 0.750
Episode 144 | Reward 24.53 | Avg Loss 0.0125 | Epsilon 0.748
Episode 145 | Reward 28.51 | Avg Loss 0.0126 | Epsilon 0.747
Episode 146 | Reward 22.09 | Avg Loss 0.0129 | Epsilon 0.745
Episode 147 | Reward 27.86 | Avg Loss 0.0138 | Epsilon 0.744
Episode 148 | Reward 26.00 | Avg Loss 0.0138 | Epsilon 0.742
Episode 149 | Reward 27.51 | Avg Loss 0.0131 | Epsilon 0.741
Episode 150 | Reward 24.64 | Avg Loss 0.0130 | Epsilon 0.739
Episode 151 | Reward 13.55 | Avg Loss 0.0164 | Epsilon 0.738
Episode 152 | Reward 21.92 | Avg Loss 0.0133 | Epsilon 0.736
Episode 153 | Reward 24.34 | Avg Loss 0.0132 | Epsilon 0.735
Episode 154 | Reward 21.94 | Avg Loss 0.0135 | Epsilon 0.733
Episode 155 | Reward 21.38 | Avg Loss 0.0139 | Epsilon 0.732
Episode 156 | Reward 32.05 | Avg Loss 0.0131 | Epsilon 0.730
Episode 157 | Reward 27.87 | Avg Loss 0.0136 | Epsilon 0.729
Episode 158 | Reward 27.75 | Avg Loss 0.0132 | Epsilon 0.727
Episode 159 | Reward 30.36 | Avg Loss 0.0130 | Epsilon 0.726
Episode 160 | Reward 17.99 | Avg Loss 0.0134 | Epsilon 0.724
Episode 161 | Reward 28.77 | Avg Loss 0.0212 | Epsilon 0.723
Episode 162 | Reward 29.87 | Avg Loss 0.0136 | Epsilon 0.722
Episode 163 | Reward 24.21 | Avg Loss 0.0136 | Epsilon 0.720
Episode 164 | Reward 28.38 | Avg Loss 0.0135 | Epsilon 0.719
Episode 165 | Reward 15.52 | Avg Loss 0.0137 | Epsilon 0.717
Episode 166 | Reward 23.32 | Avg Loss 0.0130 | Epsilon 0.716
